	Id	KO	KO_definition
s107	Ea_00148	K04761	LysR_family_transcriptional_regulator,_hydrogen_peroxide-inducible_genes_activator_
s108	Ea_00149	K00322	NAD(P)_transhydrogenase_[EC:1.6.1.1]
s109	Ea_00150	K22105	TetR/AcrR_family_transcriptional_regulator,_fatty_acid_biosynthesis_regulator_
s110	Ea_00152	K00557	tRNA_(uracil-5-)-methyltransferase_[EC:2.1.1.35]
s111	Ea_00153	K01776	glutamate_racemase_[EC:5.1.1.3]
s112	Ea_00160	K23773	LysR_family_transcriptional_regulator,_flagellar_master_operon_regulator_
s113	Ea_00161	K09897	uncharacterized_protein
s114	Ea_00162	K07391	magnesium_chelatase_family_protein_
s115	Ea_00163	K01652	acetolactate_synthase_I/II/III_large_subunit_[EC:2.2.1.6]
s116	Ea_00164	K11258	acetolactate_synthase_II_small_subunit_[EC:2.2.1.6]
s117	Ea_00165	K00826	branched-chain_amino_acid_aminotransferase_[EC:2.6.1.42]
s118	Ea_00166	K01687	dihydroxy-acid_dehydratase_[EC:4.2.1.9]
s119	Ea_00167	K01754	threonine_dehydratase_[EC:4.3.1.19]
s120	Ea_00168	K02521	LysR_family_transcriptional_regulator,_positive_regulator_for_ilvC_
s121	Ea_00169	K00053	ketol-acid_reductoisomerase_[EC:1.1.1.86]
s122	Ea_00171	K03656	ATP-dependent_DNA_helicase_Rep_[EC:5.6.2.4]
s123	Ea_00171	K03657	ATP-dependent_DNA_helicase_UvrD/PcrA_[EC:5.6.2.4]
s124	Ea_00172	K01524	exopolyphosphatase_/_guanosine-5'-triphosphate,3'-diphosphate_pyrophosphatase_[EC:3.6.1.11_3.6.1.40]
s125	Ea_00173	K03732	ATP-dependent_RNA_helicase_RhlB_[EC:3.6.4.13]
s126	Ea_00174	K03671	thioredoxin_1
s127	Ea_00175	K03628	transcription_termination_factor_Rho_
s128	Ea_00176	K02851	UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate_GlcNAc-1-phosphate_transferase_[EC:2.7.8.33_2.7.8.35]
s129	Ea_00177	K05790	lipopolysaccharide_biosynthesis_protein_WzzE_
s130	Ea_00178	K01791	UDP-N-acetylglucosamine_2-epimerase_(non-hydrolysing)_[EC:5.1.3.14]_
s131	Ea_00179	K02472	UDP-N-acetyl-D-mannosaminuronic_acid_dehydrogenase_[EC:1.1.1.336]_
s132	Ea_00180	K01710	dTDP-glucose_4,6-dehydratase_[EC:4.2.1.46]
s133	Ea_00181	K00973	glucose-1-phosphate_thymidylyltransferase_[EC:2.7.7.24]
s134	Ea_00182	K16704	dTDP-4-amino-4,6-dideoxy-D-galactose_acyltransferase_[EC:2.3.1.210]
s135	Ea_00183	K02805	dTDP-4-amino-4,6-dideoxygalactose_transaminase_[EC:2.6.1.59]
s136	Ea_00184	K16693	enterobacterial_common_antigen_flippase_
s137	Ea_00185	K12582	dTDP-N-acetylfucosamine:lipid_II_N-acetylfucosaminyltransferase_[EC:2.4.1.325]_
s138	Ea_00186	K02853	enterobacterial_common_antigen_polymerase_[EC:2.4.1.-]
s139	Ea_00187	K02852	UDP-N-acetyl-D-mannosaminouronate:lipid_I_N-acetyl-D-mannosaminouronosyltransferase_[EC:2.4.1.180]_
s140	Ea_00193	K02498	HemY_protein
s141	Ea_00194	K02496	uroporphyrin-III_C-methyltransferase_[EC:2.1.1.107]
s142	Ea_00195	K01719	uroporphyrinogen-III_synthase_[EC:4.2.1.75]
s143	Ea_00196	K01749	hydroxymethylbilane_synthase_[EC:2.5.1.61]
s144	Ea_00197	K05851	adenylate_cyclase,_class_1_[EC:4.6.1.1]
s145	Ea_00199	K01778	diaminopimelate_epimerase_[EC:5.1.1.7]
s146	Ea_00200	K09921	uncharacterized_protein
s147	Ea_00201	K03733	integrase/recombinase_XerC
s148	Ea_00202	K20862	FMN_hydrolase_/_5-amino-6-(5-phospho-D-ribitylamino)uracil_phosphatase_[EC:3.1.3.102_3.1.3.104]
s149	Ea_00203	K03657	ATP-dependent_DNA_helicase_UvrD/PcrA_[EC:5.6.2.4]
s150	Ea_00204	K03284	magnesium_transporter
s151	Ea_00206	K01058	phospholipase_A1/A2_[EC:3.1.1.32_3.1.1.4]_
s152	Ea_00207	K03654	ATP-dependent_DNA_helicase_RecQ_[EC:5.6.2.4]
s153	Ea_00208	K05834	homoserine/homoserine_lactone_efflux_protein_
s154	Ea_00209	K01048	lysophospholipase_[EC:3.1.1.5]
s155	Ea_00211	K02445	MFS_transporter,_OPA_family,_glycerol-3-phosphate_transporter
s156	Ea_00213	K03576	LysR_family_transcriptional_regulator,_regulator_for_metE_and_metH
s157	Ea_00214	K00549	5-methyltetrahydropteroyltriglutamate--homocysteine_methyltransferase_[EC:2.1.1.14]
s158	Ea_00215	K01061	carboxymethylenebutenolidase_[EC:3.1.1.45]
s159	Ea_00216	K00757	uridine_phosphorylase_[EC:2.4.2.3]
s160	Ea_00217	K09760	DNA_recombination_protein_RmuC_
s161	Ea_00218	K03183	demethylmenaquinone_methyltransferase_/_2-methoxy-6-polyprenyl-1,4-benzoquinol_methylase_[EC:2.1.1.163_2.1.1.201]
s162	Ea_00219	K03690	ubiquinone_biosynthesis_accessory_factor_UbiJ
s163	Ea_00220	K03688	ubiquinone_biosynthesis_protein
s164	Ea_00221	K03116	sec-independent_protein_translocase_protein_TatA
s165	Ea_00222	K03117	sec-independent_protein_translocase_protein_TatB
s166	Ea_00223	K03118	sec-independent_protein_translocase_protein_TatC
s167	Ea_00224	K03424	TatD_DNase_family_protein_[EC:3.1.21.-]
s168	Ea_00225	K05785	transcriptional_antiterminator_RfaH
s169	Ea_00226	K03182	4-hydroxy-3-polyprenylbenzoate_decarboxylase_[EC:4.1.1.98]
s170	Ea_00227	K05368	NAD(P)H-flavin_reductase_[EC:1.5.1.41]
s171	Ea_00228	K00632	acetyl-CoA_acyltransferase_[EC:2.3.1.16]
s172	Ea_00228	K00626	acetyl-CoA_C-acetyltransferase_[EC:2.3.1.9]
s173	Ea_00229	K01825	3-hydroxyacyl-CoA_dehydrogenase_/_enoyl-CoA_hydratase_/_3-hydroxybutyryl-CoA_epimerase_/_enoyl-CoA_isomerase_[EC:1.1.1.35_4.2.1.17_5.1.2.3_5.3.3.8]
s174	Ea_00232	K03498	trk/ktr_system_potassium_uptake_protein
s175	Ea_00233	K00230	menaquinone-dependent_protoporphyrinogen_oxidase_[EC:1.3.5.3]_
s176	Ea_00239	K00075	UDP-N-acetylmuramate_dehydrogenase_[EC:1.3.1.98]
s177	Ea_00240	K03524	BirA_family_transcriptional_regulator,_biotin_operon_repressor_/_biotin---[acetyl-CoA-carboxylase]_ligase_[EC:6.3.4.15]
s178	Ea_00241	K00867	type_I_pantothenate_kinase_[EC:2.7.1.33]
s179	Ea_00246	K02358	elongation_factor_Tu
s180	Ea_00247	K03073	preprotein_translocase_subunit_SecE_
s181	Ea_00248	K02601	transcription_termination/antitermination_protein_NusG_
s182	Ea_00249	K02867	large_subunit_ribosomal_protein_L11
s183	Ea_00250	K02863	large_subunit_ribosomal_protein_L1
s184	Ea_00251	K02864	large_subunit_ribosomal_protein_L10
s185	Ea_00252	K02935	large_subunit_ribosomal_protein_L7/L12
s186	Ea_00253	K03043	DNA-directed_RNA_polymerase_subunit_beta_[EC:2.7.7.6]
s187	Ea_00254	K03046	DNA-directed_RNA_polymerase_subunit_beta'_[EC:2.7.7.6]
s188	Ea_00255	K18555	fluoroquinolone_resistance_protein
s189	Ea_00263	K01355	omptin_[EC:3.4.23.49]
s190	Ea_00264	K00788	thiamine-phosphate_pyrophosphorylase_[EC:2.5.1.3]
s191	Ea_00265	K03147	phosphomethylpyrimidine_synthase_[EC:4.1.99.17]
s192	Ea_00266	K07740	regulator_of_sigma_D_
s193	Ea_00267	K03426	NAD+_diphosphatase_[EC:3.6.1.22]
s194	Ea_00268	K01599	uroporphyrinogen_decarboxylase_[EC:4.1.1.37]
s195	Ea_00269	K05982	deoxyribonuclease_V_[EC:3.1.21.7]
s196	Ea_00270	K09891	uncharacterized_protein
s197	Ea_00271	K05787	DNA-binding_protein_HU-alpha
s198	Ea_00271	K03530	DNA-binding_protein_HU-beta
s199	Ea_00273	K01945	phosphoribosylamine---glycine_ligase_[EC:6.3.4.13]
s200	Ea_00274	K00602	phosphoribosylaminoimidazolecarboxamide_formyltransferase_/_IMP_cyclohydrolase_[EC:2.1.2.3_3.5.4.10]
s201	Ea_00280	K00651	homoserine_O-succinyltransferase/O-acetyltransferase_[EC:2.3.1.46_2.3.1.31]_
s202	Ea_00281	K03324	phosphate:Na+_symporter
s203	Ea_00282	K00928	aspartate_kinase_[EC:2.7.2.4]
s204	Ea_00284	K01810	glucose-6-phosphate_isomerase_[EC:5.3.1.9]
s205	Ea_00289	K13256	protein_PsiE
s206	Ea_00290	K03181	chorismate_lyase_[EC:4.1.3.40]
s207	Ea_00291	K03179	4-hydroxybenzoate_polyprenyltransferase_[EC:2.5.1.39]
s208	Ea_00292	K00631	glycerol-3-phosphate_O-acyltransferase_[EC:2.3.1.15]
s209	Ea_00294	K01356	repressor_LexA_[EC:3.4.21.88]
s210	Ea_00295	K03327	multidrug_resistance_protein,_MATE_family
s211	Ea_00297	K09823	Fur_family_transcriptional_regulator,_zinc_uptake_regulator
s212	Ea_00307	K18843	antitoxin_HicB
s213	Ea_00312	K20534	polyisoprenyl-phosphate_glycosyltransferase_[EC:2.4.-.-]
s214	Ea_00317	K05539	tRNA-dihydrouridine_synthase_A_[EC:1.-.-.-]_
s215	Ea_00319	K00344	NADPH:quinone_reductase_[EC:1.6.5.5]
s216	Ea_00320	K02314	replicative_DNA_helicase_[EC:5.6.2.3]_
s217	Ea_00322	K00832	aromatic-amino-acid_transaminase_[EC:2.6.1.57]
s218	Ea_00325	K13735	adhesin/invasin
s219	Ea_00326	K13979	alcohol_dehydrogenase_(NADP+)_[EC:1.1.1.2]_
s220	Ea_00327	K03701	excinuclease_ABC_subunit_A_
s221	Ea_00328	K03111	single-strand_DNA-binding_protein
s222	Ea_00332	K07497	putative_transposase
s223	Ea_00334	K13631	AraC_family_transcriptional_regulator,_mar-sox-rob_regulon_activator
s224	Ea_00334	K18325	AraC_family_of_transcriptional_regulator,_multidrug_resistance_transcriptional_activator
s225	Ea_00335	K13639	MerR_family_transcriptional_regulator,_redox-sensitive_transcriptional_activator_SoxR_
s226	Ea_00336	K00799	glutathione_S-transferase_[EC:2.5.1.18]
s227	Ea_00337	K06901	adenine/guanine/hypoxanthine_permease
s228	Ea_00338	K24163	monovalent_cation/hydrogen_antiporter
s229	Ea_00340	K06518	holin-like_protein
s230	Ea_00343	K14393	cation/acetate_symporter
s231	Ea_00345	K01895	acetyl-CoA_synthetase_[EC:6.2.1.1]
s232	Ea_00346	K11102	proton_glutamate_symport_protein_
s233	Ea_00347	K03776	aerotaxis_receptor
s234	Ea_00347	K03406	methyl-accepting_chemotaxis_protein
s235	Ea_00351	K17938	peptide/bleomycin_uptake_transporter
s236	Ea_00352	K21023	diguanylate_cyclase_[EC:2.7.7.65]
s237	Ea_00353	K06152	gluconate_2-dehydrogenase_gamma_chain_[EC:1.1.99.3]
s238	Ea_00354	K06151	gluconate_2-dehydrogenase_alpha_chain_[EC:1.1.99.3]
s239	Ea_00355	K22474	alcohol_dehydrogenase_(quinone),_cytochrome_c_subunit_[EC:1.1.5.5]
s240	Ea_00356	K16568	exopolysaccharide_production_protein_ExoZ_
s241	Ea_00359	K22419	Delta4-3-oxosteroid_5beta-reductase_[EC:1.3.1.3]
s242	Ea_00362	K05834	homoserine/homoserine_lactone_efflux_protein_
s243	Ea_00363	K01194	alpha,alpha-trehalase_[EC:3.2.1.28]
s244	Ea_00366	K07757	sugar-phosphatase_[EC:3.1.3.23]
s245	Ea_00367	K05523	D-lactate_dehydratase_/_protein_deglycase_[EC:4.2.1.130_3.5.1.124]
s246	Ea_00368	K10680	N-ethylmaleimide_reductase_[EC:1.-.-.-]
s247	Ea_00370	K00034	glucose_1-dehydrogenase_[EC:1.1.1.47]
s248	Ea_00370	K00059	3-oxoacyl-[acyl-carrier_protein]_reductase_[EC:1.1.1.100]_
s249	Ea_00372	K02014	iron_complex_outermembrane_recepter_protein
s250	Ea_00374	K03897	lysine_N6-hydroxylase_[EC:1.14.13.59]
s251	Ea_00375	K13745	L-2,4-diaminobutyrate_decarboxylase_[EC:4.1.1.86]
s252	Ea_00381	K11901	type_VI_secretion_system_protein_ImpB
s253	Ea_00382	K11900	type_VI_secretion_system_protein_ImpC
s254	Ea_00383	K11893	type_VI_secretion_system_protein_ImpJ
s255	Ea_00384	K11892	type_VI_secretion_system_protein_ImpK
s256	Ea_00386	K11903	type_VI_secretion_system_secreted_protein_Hcp
s257	Ea_00387	K11907	type_VI_secretion_system_protein_VasG
s258	Ea_00389	K11904	type_VI_secretion_system_secreted_protein_VgrG
s259	Ea_00393	K11891	type_VI_secretion_system_protein_ImpL
s260	Ea_00394	K11910	type_VI_secretion_system_protein_VasJ
s261	Ea_00395	K11896	type_VI_secretion_system_protein_ImpG
s262	Ea_00396	K11895	type_VI_secretion_system_protein_ImpH
s263	Ea_00397	K11906	type_VI_secretion_system_protein_VasD
s264	Ea_00398	K11904	type_VI_secretion_system_secreted_protein_VgrG
s265	Ea_00404	K11906	type_VI_secretion_system_protein_VasD
s266	Ea_00407	K11904	type_VI_secretion_system_secreted_protein_VgrG
s267	Ea_00408	K11905	type_VI_secretion_system_protein
s268	Ea_00409	K11911	type_VI_secretion_system_protein_VasL
s269	Ea_00416	K00077	2-dehydropantoate_2-reductase_[EC:1.1.1.169]
s270	Ea_00417	K01892	histidyl-tRNA_synthetase_[EC:6.1.1.21]
s271	Ea_00418	K01945	phosphoribosylamine---glycine_ligase_[EC:6.3.4.13]
s272	Ea_00419	K01918	pantoate--beta-alanine_ligase_[EC:6.3.2.1]
s273	Ea_00420	K01953	asparagine_synthase_(glutamine-hydrolysing)_[EC:6.3.5.4]_
s274	Ea_00426	K04084	thioredoxin:protein_disulfide_reductase_[EC:1.8.4.16]_
s275	Ea_00427	K07791	anaerobic_C4-dicarboxylate_transporter_DcuA_
s276	Ea_00428	K01744	aspartate_ammonia-lyase_[EC:4.3.1.1]
s277	Ea_00429	K07113	UPF0716_protein_FxsA
s278	Ea_00430	K04078	chaperonin_GroES
s279	Ea_00431	K04077	chaperonin_GroEL
s280	Ea_00433	K19810	L-lysine_2,3-aminomutase_[EC:5.4.3.-]
s281	Ea_00434	K02356	elongation_factor_P
s282	Ea_00435	K13439	cysteine_protease_avirulence_protein_AvrRpt2_[EC:3.4.22.-]
s283	Ea_00436	K16348	entericidin_B
s284	Ea_00437	K03098	apolipoprotein_D_and_lipocalin_family_protein
s285	Ea_00438	K04568	elongation_factor_P--(R)-beta-lysine_ligase_[EC:6.3.1.-]
s286	Ea_00439	K22051	miniconductance_mechanosensitive_channel
s287	Ea_00440	K01613	phosphatidylserine_decarboxylase_[EC:4.1.1.65]
s288	Ea_00441	K06949	ribosome_biogenesis_GTPase_/_thiamine_phosphate_phosphatase_[EC:3.6.1.-_3.1.3.100]
s289	Ea_00442	K13288	oligoribonuclease_[EC:3.1.-.-]
s290	Ea_00446	K23997	ADP-dependent_NAD(P)H-hydrate_dehydratase_/_NAD(P)H-hydrate_epimerase_[EC:4.2.1.136_5.1.99.6]_
s291	Ea_00446	K17758	ADP-dependent_NAD(P)H-hydrate_dehydratase_[EC:4.2.1.136]_
s292	Ea_00447	K06925	tRNA_threonylcarbamoyladenosine_biosynthesis_protein_TsaE
s293	Ea_00448	K01448	N-acetylmuramoyl-L-alanine_amidase_[EC:3.5.1.28]
s294	Ea_00450	K00791	tRNA_dimethylallyltransferase_[EC:2.5.1.75]
s295	Ea_00451	K03666	host_factor-I_protein
s296	Ea_00452	K03665	GTPase
s297	Ea_00453	K04088	modulator_of_FtsH_protease_HflK
s298	Ea_00454	K04087	modulator_of_FtsH_protease_HflC
s299	Ea_00455	K09937	uncharacterized_protein
s300	Ea_00456	K01939	adenylosuccinate_synthase_[EC:6.3.4.4]
s301	Ea_00457	K12573	ribonuclease_R_[EC:3.1.13.1]
s302	Ea_00458	K03218	23S_rRNA_(guanosine2251-2'-O)-methyltransferase_[EC:2.1.1.185]_
s303	Ea_00460	K03406	methyl-accepting_chemotaxis_protein
s304	Ea_00462	K02990	small_subunit_ribosomal_protein_S6
s305	Ea_00463	K02686	primosomal_replication_protein_N_
s306	Ea_00464	K02963	small_subunit_ribosomal_protein_S18
s307	Ea_00465	K02939	large_subunit_ribosomal_protein_L9
s308	Ea_00466	K07269	cell_division_protein_YtfB_
s309	Ea_00467	K03773	FKBP-type_peptidyl-prolyl_cis-trans_isomerase_FklB_[EC:5.2.1.8]
s310	Ea_00468	K01119	2',3'-cyclic-nucleotide_2'-phosphodiesterase_/_3'-nucleotidase_[EC:3.1.4.16_3.1.3.6]
s311	Ea_00469	K01082	3'(2'),_5'-bisphosphate_nucleotidase_[EC:3.1.3.7]_
s312	Ea_00471	K03699	magnesium_and_cobalt_exporter,_CNNM_family
s313	Ea_00472	K07278	translocation_and_assembly_module_TamA
s314	Ea_00473	K09800	translocation_and_assembly_module_TamB
s315	Ea_00475	K01507	inorganic_pyrophosphatase_[EC:3.6.1.1]
s316	Ea_00476	K03406	methyl-accepting_chemotaxis_protein
s317	Ea_00477	K03841	fructose-1,6-bisphosphatase_I_[EC:3.1.3.11]
s318	Ea_00478	K02558	UDP-N-acetylmuramate:_L-alanyl-gamma-D-glutamyl-meso-diaminopimelate_ligase_[EC:6.3.2.45]_
s319	Ea_00479	K09889	ribosome-associated_protein
s320	Ea_00480	K03592	PmbA_protein
s321	Ea_00489	K17463	2-dehydro-3-deoxy-phosphogluconate_aldolase_[EC:4.1.2.14]
s322	Ea_00491	K04065	hyperosmotically_inducible_periplasmic_protein_
s323	Ea_00492	K12961	DnaA_initiator-associating_protein
s324	Ea_00492	K03271	D-sedoheptulose_7-phosphate_isomerase_[EC:5.3.1.28]_
s325	Ea_00493	K07460	putative_endonuclease
s326	Ea_00494	K07121	uncharacterized_protein
s327	Ea_00495	K07056	16S_rRNA_(cytidine1402-2'-O)-methyltransferase_[EC:2.1.1.198]_
s328	Ea_00498	K06911	quercetin_2,3-dioxygenase_[EC:1.13.11.24]
s329	Ea_00501	K15977	putative_oxidoreductase
s330	Ea_00504	K05594	ElaB_protein
s331	Ea_00507	K03975	membrane-associated_protein
s332	Ea_00508	K18921	protein_HokB
s333	Ea_00509	K07862	serine/threonine_transporter
s334	Ea_00510	K05794	tellurite_resistance_protein_TerC_
s335	Ea_00511	K03281	chloride_channel_protein,_CIC_family
s336	Ea_00515	K07043	UTP_pyrophosphatase_[EC:3.6.1.-]
s337	Ea_00516	K11391	23S_rRNA_(guanine1835-N2)-methyltransferase_[EC:2.1.1.174]_
s338	Ea_00516	K00564	16S_rRNA_(guanine1207-N2)-methyltransferase_[EC:2.1.1.172]_
